N	English	Spelling	IPA
187	rotten	marcio	/ˈmar.t͡ʃo/
188	dirty	sporco	/ˈspɔr.ko/
189	straight	dritto	/dri.tːo/
190	round	rotondo	/roˈton.do/
191	sharp (as a knife)	aguzzo, affilato	/aˈɡu.t͡sːo/, /ˌaf.fiˈlaː.to/
192	dull (as a knife)	smussato	/ˌzmusˈsaː.to/
193	smooth	liscio	/ˈliʃ.ʃo/
194	wet	bagnato	/baɲˈɲaː.to/
195	dry	asciutto, secco	/aʃˈʃu.tːo/, /ˈse.kːo/
196	correct	corretto	/korˈrɛ.tːo/
197	near	vicino	/viˈt͡ʃiː.no/
198	far	lontano	/lonˈtaː.no/
199	right	destra	/ˈdɛs.tra/
200	left	sinistra	/siˈnis.tra/
201	at	a	/a/
202	in	in	/in/
203	with	con	/kon/
204	and	e	/e/
205	if	se	/se/
206	because	perché	/perˈke/
207	name	nome	/ˈnoː.me/
